17:28:43.122462 | INFO    | client/video.c                      | try_request_iframe_to_catch_up:293   | The most recent ID is 6 frames ahead of the most recent rendered frame. I-Frame is now being requested to catch-up.
17:28:43.122499 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :454   | NACKing is possible again.
17:28:43.122540 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2649
17:28:43.122559 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2650
17:28:43.122576 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2651
17:28:43.122593 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2652
17:28:43.122610 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2653
17:28:43.122627 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2654
17:28:43.122650 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2655
17:28:43.122673 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2656
17:28:43.122695 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2657
17:28:43.122727 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2658
17:28:43.122744 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2659
17:28:43.122760 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2660
17:28:43.122778 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2661
17:28:43.122815 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2662
17:28:43.122840 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2663
17:28:43.122875 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2664
17:28:43.122902 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2665
17:28:43.122922 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2666
17:28:43.127190 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :448   | Can't nack anymore! Hit NACK bitrate limit. Try increasing NACK bitrate?
17:28:43.127527 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :454   | NACKing is possible again.
17:28:43.127588 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2667
17:28:43.127615 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2668
17:28:43.127640 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2669
17:28:43.127668 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2670
17:28:43.127693 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2671
17:28:43.127717 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2672
17:28:43.127732 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2673
17:28:43.127750 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2674
17:28:43.127769 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2675
17:28:43.127795 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2676
17:28:43.127817 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2677
17:28:43.127842 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2678
17:28:43.127869 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2679
17:28:43.127894 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2680
17:28:43.127919 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2681
17:28:43.127944 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2682
17:28:43.127967 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2683
17:28:43.127991 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2684
17:28:43.128026 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :448   | Can't nack anymore! Hit NACK bitrate limit. Try increasing NACK bitrate?
17:28:43.134393 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :454   | NACKing is possible again.
