20:51:14:358 | INFO    | win_clipboard.c | lclipboard_directory:62 | Directory: C:\ProgramData\FractalCache
20:51:24:067 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14061568
20:51:24:067 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14057472
20:51:24:070 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14061568
20:51:24:070 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14057472
20:51:24:074 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14065664
20:51:24:074 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14061568
20:51:24:077 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14065664
20:51:24:077 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14061568
20:51:24:081 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14069760
20:51:24:081 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14065664
20:51:24:085 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14069760
20:51:24:085 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14065664
20:51:24:088 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14073856
20:51:24:088 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14069760
20:51:24:090 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14073856
20:51:24:090 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14069760
20:51:24:092 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14077952
20:51:24:092 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14073856
20:51:24:094 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14077952
20:51:24:094 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14073856
20:51:24:098 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14082048
20:51:24:098 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14077952
20:51:24:101 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14082048
20:51:24:101 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14077952
20:51:24:104 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14086144
20:51:24:104 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14082048
20:51:24:106 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14086144
20:51:24:106 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14082048
20:51:24:109 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14090240
20:51:24:109 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14086144
