21:55:49:701 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 77.349200ms total!
21:55:49:803 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 79.235000ms total!
21:55:49:903 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 78.705400ms total!
21:55:50:001 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 77.172100ms total!
21:55:50:022 | INFO    | main.c          | update:212 | Ping! 6
21:55:50:047 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 27.671900ms total!
21:55:50:047 | INFO    | main.c          | ReceiveMessage:455 | Latency: 0.025185
21:55:50:103 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 51.306700ms total!
21:55:50:205 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 81.951800ms total!
21:55:50:304 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 78.546400ms total!
21:55:50:407 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 79.907400ms total!
21:55:50:504 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 74.814000ms total!
21:55:50:523 | INFO    | main.c          | update:212 | Ping! 7
21:55:50:548 | INFO    | main.c          | ReceiveMessage:455 | Latency: 0.025490
21:55:50:592 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 32.846800ms total!
21:55:50:687 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 72.399300ms total!
21:55:50:788 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 77.469100ms total!
21:55:50:889 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 78.659500ms total!
21:55:50:989 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 76.090900ms total!
21:55:51:024 | INFO    | main.c          | update:212 | Ping! 8
21:55:51:048 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 38.515400ms total!
21:55:51:048 | INFO    | main.c          | ReceiveMessage:455 | Latency: 0.024033
21:55:51:089 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 35.830900ms total!
21:55:51:129 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 21.892600ms total!
21:55:51:169 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 25.959700ms total!
21:55:51:273 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 78.096700ms total!
21:55:51:374 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 77.418600ms total!
21:55:51:471 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 75.618700ms total!
21:55:51:525 | INFO    | main.c          | update:212 | Ping! 9
21:55:51:549 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 52.387700ms total!
21:55:51:549 | INFO    | main.c          | ReceiveMessage:455 | Latency: 0.024109
21:55:51:571 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 22.299800ms total!
21:55:51:674 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 80.444800ms total!
21:55:51:780 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 81.945700ms total!
21:55:51:877 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 72.634800ms total!
21:55:51:937 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 38.122500ms total!
